ean;condition;price;comment;offer_id;warehouse;location;count;delivery_time_min;delivery_time_max;minimum_price;price_cs;minimum_price_cs;shipping_group
4,72E+12;100;;;324418;;;5;2;4;;165;;
4,72E+12;100;;;348042;;;5;2;4;;225;;
4,72E+12;100;;;344484;;;5;2;4;;145;;
4,72E+12;100;;;362020;;;4;2;4;;841;;
5,40E+12;100;;;321532;;;1;2;4;;479;;
4,71E+12;100;;;359430;;;5;2;4;;145;;
8,81E+12;100;;;313743;;;5;2;4;;483;;
4,72E+12;100;;;354215;;;2;2;4;;145;;
4,71E+12;100;;;340145;;;5;2;4;;697;;
8,72E+12;100;;;315171;;;5;2;4;;731;;
8,59E+12;100;;;325881;;;5;2;4;;429;;
4,55E+12;100;;;269827;;;6;2;4;;71;;
4,72E+12;100;;;289969;;;5;2;4;;205;;
8,81E+12;100;;;218600;;;5;2;4;;223;;
8,81E+12;100;;;283329;;;5;2;4;;265;;
4,71E+12;100;;;356059;;;5;2;4;;225;;
4,55E+12;100;;;312853;;;5;2;4;;365;;
8,72E+12;100;;;351055;;;5;2;4;;1277;;
4,04E+12;100;;;317283;;;5;2;4;;129;;
4,71E+12;100;;;357469;;;5;2;4;;385;;
5,90E+12;100;;;302903;;;5;2;4;;362;;
4,71E+12;100;;;276962;;;1;2;4;;85;;
4,72E+12;100;;;274426;;;5;2;4;;381;;
4,72E+12;100;;;229486;;;2;2;4;;325;;
4,55E+12;100;;;248792;;;5;2;4;;95;;
4,72E+12;100;;;323012;;;5;2;4;;564;;
4,72E+12;100;;;289977;;;5;2;4;;135;;
8,72E+12;100;;;345577;;;5;2;4;;123;;
4,72E+12;100;;;324650;;;5;2;4;;573;;
4,72E+12;100;;;285585;;;5;2;4;;141;;
8,72E+12;100;;;351046;;;5;2;4;;206;;
4,55E+12;100;;;348960;;;5;2;4;;2677;;
4,72E+12;100;;;291438;;;5;2;4;;195;;
8,81E+12;100;;;335788;;;5;2;4;;133;;
4,55E+12;100;;;201944;;;5;2;4;;65;;
4,98E+12;100;;;235027;;;5;2;4;;275;;
4,71E+12;100;;;335638;;;5;2;4;;251;;
8,81E+12;100;;;286812;;;5;2;4;;99;;
4,71E+12;100;;;332473;;;5;2;4;;225;;
4,72E+12;100;;;289974;;;5;2;4;;156;;
4,71E+12;100;;;357476;;;5;2;4;;295;;
8,59E+12;100;;;sklRB4a7s5b;;;1;2;4;;1179;;
4,72E+12;100;;;300780;;;5;2;4;;180;;
8,59E+12;100;;;sklRB4a7s9h;;;5;2;4;;1340;;
4,90E+12;100;;;212978;;;5;2;4;;155;;
4,72E+12;100;;;330893;;;2;2;4;;935;;
4,55E+12;100;;;228506;;;5;2;4;;57;;
4,71E+12;100;;;360607;;;5;2;4;;1815;;
4,72E+12;100;;;312571;;;1;2;4;;111;;
9,12E+12;100;;;346084;;;2;2;4;;162;;
4,72E+12;100;;;322095;;;5;2;4;;461;;
8,81E+12;100;;;300130;;;5;2;4;;205;;
8,81E+12;100;;;362308;;;5;2;4;;185;;
4,72E+12;100;;;344557;;;4;2;4;;396;;
4,71E+12;100;;;335628;;;5;2;4;;151;;
4,72E+12;100;;;340154;;;5;2;4;;151;;
4,55E+12;100;;;311881;;;5;2;4;;72;;
8,81E+12;100;;;286809;;;5;2;4;;99;;
8,59E+12;100;;;sklRB5b2m4b;;;5;2;4;;1389;;
4,72E+12;100;;;321809;;;1;2;4;;455;;
4,71E+12;100;;;217741;;;4;2;4;;75;;
8,81E+12;100;;;320251;;;5;2;4;;215;;
4,72E+12;100;;;289967;;;5;2;4;;325;;
8,81E+12;100;;;298701;;;5;2;4;;160;;
4,71E+12;100;;;324257;;;5;2;4;;195;;
4,72E+12;100;;;336039;;;5;2;4;;315;;
4,71E+12;100;;;335623;;;5;2;4;;125;;
4,72E+12;100;;;251984;;;5;2;4;;265;;
4,90E+12;100;;;329699;;;5;2;4;;355;;
4,72E+12;100;;;324453;;;1;2;4;;645;;
8,81E+12;100;;;345896;;;5;2;4;;369;;
8,81E+12;100;;;221161;;;1;2;4;;185;;
4,72E+12;100;;;336104;;;5;2;4;;215;;
8,72E+12;100;;;361463;;;3;2;4;;546;;
8,81E+12;100;;;345841;;;5;2;4;;1887;;
5,40E+12;100;;;337076;;;5;2;4;;375;;
4,72E+12;100;;;344941;;;4;2;4;;185;;
8,81E+12;100;;;250838;;;5;2;4;;147;;
8,81E+12;100;;;322013;;;5;2;4;;242;;
8,81E+12;100;;;358486;;;5;2;4;;172;;
8,81E+12;100;;;218589;;;5;2;4;;185;;
4,55E+12;100;;;219013;;;5;2;4;;67;;
4,72E+12;100;;;348111;;;3;2;4;;655;;
4,72E+12;100;;;287845;;;3;2;4;;175;;
4,72E+12;100;;;257361;;;3;2;4;;100;;
4,72E+12;100;;;345025;;;3;2;4;;225;;
4,72E+12;100;;;287502;;;2;2;4;;74;;
4,72E+12;100;;;310901;;;5;2;4;;441;;
4,71E+12;100;;;357467;;;3;2;4;;461;;
8,72E+12;100;;;345578;;;5;2;4;;137;;
8,59E+12;100;;;357804;;;3;2;4;;722;;
4,71E+12;100;;;305135;;;5;2;4;;535;;
5,40E+12;100;;;312095;;;5;2;4;;215;;
4,72E+12;100;;;293250;;;3;2;4;;118;;
4,71E+12;100;;;282988;;;5;2;4;;201;;
8,72E+12;100;;;345586;;;5;2;4;;345;;
4,72E+12;100;;;361464;;;5;2;4;;1708;;
7,34E+12;100;;;315883;;;1;2;4;;155;;
4,71E+12;100;;;343874;;;5;2;4;;221;;
4,72E+12;100;;;262208;;;5;2;4;;201;;
4,72E+12;100;;;313040;;;2;2;4;;171;;
8,81E+12;100;;;337994;;;2;2;4;;265;;
8,81E+12;100;;;345262;;;5;2;4;;155;;
5,40E+12;100;;;350430;;;5;2;4;;275;;
8,72E+12;100;;;315172;;;5;2;4;;842;;
4,72E+12;100;;;283912;;;1;2;4;;225;;
4,71E+12;100;;;324263;;;4;2;4;;181;;
4,55E+12;100;;;343353;;;1;2;4;;269;;
4,72E+12;100;;;312423;;;4;2;4;;175;;
8,72E+12;100;;;315162;;;5;2;4;;564;;
4,72E+12;100;;;335062;;;3;2;4;;421;;
3,66E+12;100;;;271850;;;5;2;4;;106;;
5,90E+12;100;;;302878;;;5;2;4;;203;;
8,72E+12;100;;;351058;;;58;2;4;;1857;;
8,72E+12;100;;;348891;;;5;2;4;;1527;;
8,81E+12;100;;;272383;;;4;2;4;;145;;
4,55E+12;100;;;343352;;;3;2;4;;229;;
4,71E+12;100;;;362654;;;2;2;4;;221;;
4,72E+12;100;;;287546;;;1;2;4;;415;;
4,72E+12;100;;;326158;;;5;2;4;;455;;
4,71E+12;100;;;335631;;;5;2;4;;241;;
4,72E+12;100;;;287500;;;2;2;4;;120;;
4,55E+12;100;;;348956;;;3;2;4;;1107;;
9,12E+12;100;;;334988;;;2;2;4;;195;;
23942530237;100;;;110669;;;5;2;4;;71;;
4,72E+12;100;;;332488;;;1;2;4;;335;;
8,81E+12;100;;;275447;;;5;2;4;;285;;
4,72E+12;100;;;340151;;;4;2;4;;125;;
4,55E+12;100;;;228507;;;5;2;4;;72;;
4,71E+12;100;;;332930;;;5;2;4;;185;;
4,26E+12;100;;;272436;;;5;2;4;;125;;
4,72E+12;100;;;290012;;;5;2;4;;375;;
4,72E+12;100;;;328005;;;5;2;4;;655;;
4,72E+12;100;;;242180;;;3;2;4;;235;;
4,72E+12;100;;;311379;;;5;2;4;;185;;
4,72E+12;100;;;351336;;;3;2;4;;105;;
5,40E+12;100;;;321981;;;5;2;4;;206;;
4,72E+12;100;;;312438;;;5;2;4;;155;;
4,71E+12;100;;;354351;;;4;2;4;;275;;
4,90E+12;100;;;345687;;;3;2;4;;426;;
8,72E+12;100;;;315165;;;5;2;4;;748;;
4,71E+12;100;;;358500;;;5;2;4;;135;;
5,40E+11;100;;;297513;;;5;2;4;;265;;
4,71E+12;100;;;335622;;;6;2;4;;115;;
4,72E+12;100;;;285582;;;1;2;4;;115;;
5,40E+12;100;;;321527;;;5;2;4;;205;;
4,71E+12;100;;;320677;;;5;2;4;;428;;
8,59E+12;100;;;357793;;;5;2;4;;682;;
4,72E+12;100;;;347751;;;5;2;4;;315;;
4,71E+12;100;;;234332;;;5;2;4;;245;;
8,71E+12;100;;;295792;;;2;2;4;;524;;
8,81E+12;100;;;286810;;;5;2;4;;141;;
8,59E+12;100;;;339032;;;5;2;4;;2500;;
4,72E+12;100;;;292037;;;1;2;4;;475;;
5,40E+12;100;;;264164;;;5;2;4;;205;;
4,71E+12;100;;;308704;;;5;2;4;;435;;
4,72E+12;100;;;336102;;;4;2;4;;175;;
8,81E+12;100;;;282169;;;5;2;4;;119;;
4,55E+12;100;;;348744;;;5;2;4;;98;;
8,81E+12;100;;;270817;;;5;2;4;;265;;
4,72E+12;100;;;332342;;;5;2;4;;206;;
8,43E+12;100;;;229869;;;5;2;4;;98;;
8,81E+12;100;;;311347;;;5;2;4;;615;;
8,81E+12;100;;;345851;;;5;2;4;;887;;
5,90E+12;100;;;327650;;;4;2;4;;265;;
4,71E+12;100;;;340147;;;5;2;4;;545;;
4,71E+12;100;;;348167;;;1;2;4;;396;;
8,72E+12;100;;;351047;;;5;2;4;;205;;
4,71E+12;100;;;236557;;;5;2;4;;85;;
4,71E+12;100;;;217744;;;6;2;4;;155;;
4,72E+12;100;;;308595;;;5;2;4;;304;;
8,81E+12;100;;;345897;;;5;2;4;;627;;
4,72E+12;100;;;225006;;;5;2;4;;125;;
8,81E+12;100;;;318199;;;5;2;4;;315;;
5,90E+12;100;;;312986;;;5;2;4;;591;;
4,72E+12;100;;;348732;;;5;2;4;;135;;
8,59E+12;100;;;347904;;;1;2;4;;1630;;
4,71E+12;100;;;184595;;;5;2;4;;75;;
4,72E+12;100;;;336843;;;3;2;4;;245;;
3,83E+12;100;;;288430;;;3;2;4;;255;;
4,71E+12;100;;;335632;;;5;2;4;;206;;
4,72E+12;100;;;324462;;;5;2;4;;561;;
8,81E+12;100;;;297450;;;2;2;4;;145;;
4,72E+12;100;;;340155;;;5;2;4;;185;;
8,81E+12;100;;;313092;;;5;2;4;;891;;
8,81E+12;100;;;286817;;;5;2;4;;141;;
4,71E+12;100;;;217778;;;4;2;4;;96;;
5,40E+12;100;;;308474;;;6;2;4;;665;;
4,72E+12;100;;;308594;;;1;2;4;;569;;
8,59E+12;100;;;351193;;;2;2;4;;582;;
4,72E+12;100;;;340163;;;3;2;4;;171;;
4,71E+12;100;;;143386;;;6;2;4;;75;;
4,55E+12;100;;;269840;;;5;2;4;;71;;
5,40E+12;100;;;297502;;;1;2;4;;190;;
4,71E+12;100;;;311768;;;2;2;4;;125;;
8,81E+12;100;;;345901;;;5;2;4;;345;;
8,72E+12;100;;;238165;;;5;2;4;;141;;
4,04E+12;100;;;317279;;;1;2;4;;135;;
8,72E+12;100;;;165279;;;4;2;4;;505;;
